path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/Rendering/RainRust/RenderPasses/SonarObstaclePass.cs,29.7,124,2,156,2,0,3,0,1
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.cs,29.37,380,2,380,1,0,0,0,1
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkMaterialSetProcessor.cs,29.3,90,10,96,2,0,0,0,0
Assets/Rendering/RainRust/RenderFeatures/SonarObstacleFeature.cs,28.21,51,4,55,2,0,3,0,0
Assets/Core/Common/BuildVersionInfo.cs,27.57,44,3,44,1,0,2,0,1
Assets/GameMain/Scripts/RunTime/UI/SuperText/ShakeEffect.cs,26.98,82,7,82,1,0,0,0,11
Assets/Core/GameCoreSystems/Audio/Entry/DirectPlayManagedEntry.cs,26.95,30,4,30,2,0,1,1,0
Assets/Core/GameCoreSystems/SaveSystem/SaveMeta.cs,26.57,20,1,20,1,0,5,0,1
Assets/GameMain/Scripts/RunTime/UI/SuperText/ColorFlowEffect.cs,26.31,91,7,91,1,0,0,0,9
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeRandomData.cs,26.09,53,5,53,1,0,2,0,5
Assets/Core/GameCoreSystems/Audio/Config/ManagedConfig.cs,25.98,27,3,27,1,0,2,1,0
Assets/Core/GameCoreSystems/Audio/Entry/AudioEntry.cs,25.98,27,3,27,1,0,2,1,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerNormalStGravity.cs,25.93,53,9,57,2,0,0,0,1
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelBoundsTrigger.cs,25.88,42,8,46,3,0,0,0,0
Assets/GameMain/Scripts/RunTime/UI/SuperText/CharacterEffectContext.cs,25.68,15,1,15,1,0,5,0,0
Assets/GameMain/Scripts/RunTime/GameCoreSystems/Splash/PlayerDeathSplasher.cs,25.62,110,5,110,1,0,0,0,12
Assets/GameMain/Scripts/RunTime/Commands/GameFlow/GameFlowCommands.cs,25.43,50,3,64,3,0,2,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineDash.cs,25.06,69,5,73,2,0,0,0,0
Assets/Core/CoreModule/CoreModuleManagerBase.cs,24.68,21,2,243,6,0,0,0,0
Assets/Rendering/RainRust/RenderPasses/RainRustJfaInitPass.cs,24.4,60,6,72,2,0,1,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerGrapplingHook/Spring.cs,24.15,54,2,54,1,1,1,0,4
Assets/Core/GameCoreSystems/Stats/StatRecord.cs,24.12,26,2,26,1,0,4,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerGrabStJump.cs,24.07,52,6,56,3,0,0,0,2
Assets/Core/GameCoreSystems/Scene/VgSceneManager.cs,24.07,28,3,32,3,0,2,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerGrabCapability.cs,24.03,92,7,100,2,0,0,0,0
Assets/Core/GameCoreSystems/Audio/Entry/AudioParameterEntry.cs,23.89,29,4,29,1,0,1,1,0
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/SnakeSavePoint.cs,23.61,47,6,55,2,0,1,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Checkpoint/CheckpointAnimTemp.cs,23.35,30,2,30,1,1,1,0,0
Assets/Core/GameCoreSystems/Audio/Entry/DirectSetParameterEntry.cs,23.3,36,4,36,2,0,0,1,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerGroundCheckCapability.cs,23.26,69,5,73,2,0,0,0,7
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/LevelClearPoint/LevelClearPoint.cs,23.15,54,5,54,1,0,2,0,0
Assets/Core/GameCoreSystems/Audio/Entry/DirectPlay3DOneShotEntry.cs,22.77,27,4,27,2,0,0,1,0
Assets/Core/GameCoreSystems/Audio/Entry/DirectPlayOneShotEntry.cs,22.77,27,4,27,2,0,0,1,0
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkLevelNeighborProcessor.cs,22.07,42,6,92,2,0,0,0,4
Assets/Core/GameCoreSystems/LoadingSplash/VgCircleWipeEffect.cs,21.76,61,3,61,1,0,0,1,3
Assets/Core/Mono/MonoSingletonLasy.cs,21.63,38,3,40,2,0,0,1,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/OrchidCollection/MatCollectionControl.cs,21.27,32,3,32,1,1,0,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.StateCheck.cs,20.82,110,5,110,1,0,0,0,4
Assets/Core/Command/GameObject/GameObjectCommands.cs,20.78,66,4,154,3,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeAnim.cs,20.32,26,1,26,1,1,0,0,0
Assets/Core/GameCoreSystems/Audio/Entry/DefaultAudioEntry.cs,19.89,29,4,29,1,0,0,1,0
Assets/Rendering/RainRust/RenderPasses/RainRustUnpremultiplyPass.cs,19.51,67,7,67,1,0,0,0,0
